id,term,NewConcepts,PercentOfTotal,PercentOfAllNew,PercentOfNewSD,PercentOfNewP
138875005,SNOMED CT Concept (SNOMED RT+CTV3),137,9.12,100.00,38.68,61.32
363787002,Observable entity (observable entity),0,0.00,0.00,0.00,100.00
370115009,Special concept (special concept),0,0.00,0.00,0.00,100.00
308916002,Environment or geographical location (environment / location),0,0.00,0.00,0.00,100.00
419891008,Record artifact (record artifact),0,0.00,0.00,0.00,100.00
900000000000441003,SNOMED CT Model Component (metadata),0,0.00,0.00,0.00,100.00
272379006,Event (event),0,0.00,0.00,0.00,100.00
123037004,Body structure (body structure),0,0.00,0.00,0.00,100.00
123038009,Specimen (specimen),0,0.00,0.00,0.00,100.00
78621006,Physical force (physical force),0,0.00,0.00,0.00,100.00
254291000,Staging and scales (staging scale),0,0.00,0.00,0.00,100.00
260787004,Physical object (physical object),0,0.00,0.00,0.00,100.00
48176007,Social context (social concept),0,0.00,0.00,0.00,100.00
373873005,Pharmaceutical / biologic product (product),0,0.00,0.00,0.00,100.00
410607006,Organism (organism),62,0.18,45.25,0.00,100.00
362981000,Qualifier value (qualifier value),2,0.02,1.45,0.00,100.00
404684003,Clinical finding (finding),64,0.06,46.71,73.43,26.57
71388002,Procedure (procedure),1,0.00,0.72,0.00,100.00
243796009,Situation with explicit context (situation),6,0.13,4.37,100.00,0.00
105590001,Substance (substance),2,0.00,1.45,0.00,100.00
