Hierarchy,Id,Term,Condition
Body structure (body structure),339008,phlyctène (anomalie morphologique),Existing localized concept
Body structure (body structure),955009,structure d'une bronche (structure corporelle),Existing localized concept
Body structure (body structure),1028005,structure d'une glande sébacée (structure corporelle),Existing localized concept
Body structure (body structure),1231004,structure des méninges (structure corporelle),Existing localized concept
Body structure (body structure),1263005,organisation particulière des microtubules (structure cellulaire),Existing localized concept
Body structure (body structure),1806006,éruption (anomalie morphologique),Existing localized concept
Body structure (body structure),2095001,structure d'un sinus paranasal (structure corporelle),Existing localized concept
Body structure (body structure),2969000,structure d'un espace corporel (structure corporelle),Existing localized concept
Body structure (body structure),3057000,structure d'un nerf (structure corporelle),Existing localized concept
Body structure (body structure),3058005,structure du système nerveux périphérique (structure corporelle),Existing localized concept
Body structure (body structure),3120008,structure de la plèvre (structure corporelle),Existing localized concept
Body structure (body structure),3467000,relation intercellulaire caractérisée par un contact cellulaire&#44; sans ou avec séparation minime (structure corporelle),Existing localized concept
Body structure (body structure),3954005,structure du sac lacrymal (structure corporelle),Existing localized concept
Body structure (body structure),4147007,masse (anomalie morphologique),Existing localized concept
Body structure (body structure),4421005,structure cellulaire (structure cellulaire),Existing localized concept
Body structure (body structure),4532008,inflammation aiguë (anomalie morphologique),Existing localized concept
Body structure (body structure),5665001,structure de la rétine (structure corporelle),Existing localized concept
Body structure (body structure),5960008,structure déprimée (anomalie morphologique),Existing localized concept
Body structure (body structure),9120004,relation intercullulaire&#44; caractérisée par l'absence de systèmes spécialisés d'adhésion (structure corporelle),Existing localized concept
Body structure (body structure),9656002,consolidation (anomalie morphologique),Existing localized concept
Body structure (body structure),9661000,fracture consolidée (anomalie morphologique),Existing localized concept
Body structure (body structure),10200004,structure du foie (structure corporelle),Existing localized concept
Body structure (body structure),11135000,relation intercellulaire&#44; caractérisée par l'alternance des zones de contact et de séparation (structure corporelle),Existing localized concept
Body structure (body structure),11874005,organisation particulière des filaments cytoplasmiques (structure cellulaire),Existing localized concept
Body structure (body structure),12402003,cicatrice (anomalie morphologique),Existing localized concept
Body structure (body structure),12738006,structure de l'encéphale (structure corporelle),Existing localized concept
Body structure (body structure),13136005,site d'injection (anomalie morphologique),Existing localized concept
Body structure (body structure),13648007,structure de l'urètre (structure corporelle),Existing localized concept
Body structure (body structure),14632004,relation particulière de cellules à cellules (structure corporelle),Existing localized concept
