id,term,TotalLocalized,PercentOfHierarchyTotal,NewLocalizedConcepts,PercentOfNewLocalizedTotal
138875005,SNOMED CT Concept (SNOMED RT+CTV3),35496,100.00,277,100.00
410607006,organisme (organisme),2167,6.43,0,0.00
362981000,Qualifier value (qualifier value),3285,34.93,0,0.00
363787002,Observable entity (observable entity),1504,17.33,0,0.00
370115009,concept spécial (concept spécial),464,71.49,0,0.00
308916002,environnement ou lieu géographique (environnement / lieu),176,9.68,0,0.00
419891008,élément du dossier (élément du dossier),31,12.30,0,0.00
900000000000441003,SNOMED CT Model Component (metadata),438,27.91,0,0.00
404684003,constatation clinique (constatation),9890,9.44,4,1.44
272379006,événement (événement),472,13.05,0,0.00
123037004,Body structure (body structure),311,0.99,0,0.00
71388002,Procedure (procedure),8319,14.88,0,0.00
123038009,Specimen (specimen),1065,65.13,0,0.00
78621006,Physical force (physical force),105,61.40,0,0.00
243796009,situation avec contexte explicite (situation),1090,25.47,0,0.00
254291000,Staging and scales (staging scale),956,67.27,0,0.00
260787004,Physical object (physical object),436,2.93,0,0.00
48176007,Social context (social concept),702,14.87,0,0.00
105590001,Substance (substance),1405,5.42,46,16.60
373873005,produit pharmaceutique ou biologique (produit),1230,7.05,8,2.88
